euler,centroid_x,centroid_y,hor_symm,ver_symm,aspect_ratio,area_ratio
0.000000,4.561798,6.522472,0.111111,0.425000,1.000000,0.551084
-1.000000,5.094787,4.933649,0.659574,0.578947,1.000000,0.584488
1.000000,4.724868,5.264550,1.000000,0.407407,1.000000,0.621711
1.000000,4.500000,7.635417,0.000000,0.351351,1.000000,0.388664
0.000000,4.403727,5.701863,0.142857,0.125000,1.000000,0.498452
-1.000000,4.800000,6.447059,0.909091,0.638889,1.000000,0.596491
1.000000,4.092105,4.953947,0.517241,0.183673,1.000000,0.444444
1.000000,4.963636,4.336364,0.892857,0.400000,1.000000,0.304709
0.000000,4.802920,8.131387,0.000000,0.636364,1.000000,0.554656
0.000000,4.645669,4.456693,0.703704,0.638889,1.000000,0.703601
0.000000,4.776923,4.923077,0.153846,0.372093,1.000000,0.380117
1.000000,5.096774,7.051613,0.857143,0.551724,1.000000,0.543860
1.000000,3.885135,5.959459,0.642857,0.425532,1.000000,0.458204
-2.000000,4.189655,6.666667,1.000000,0.690909,1.000000,0.654135
1.000000,4.655462,6.142857,0.533333,0.541667,1.000000,0.417544
1.000000,3.940789,7.190789,1.000000,0.431373,1.000000,0.533333
1.000000,3.930818,4.094340,0.794872,0.031746,1.000000,0.464912
1.000000,3.861538,11.584615,0.000000,0.800000,4.000000,0.855263
1.000000,4.674797,6.821138,0.666667,0.333333,1.000000,0.431579
-1.000000,5.142045,5.363636,0.166667,0.375000,1.000000,0.544892
0.000000,4.961832,7.809160,0.000000,0.407407,1.000000,0.530364
0.000000,5.194690,7.902655,0.000000,0.333333,1.000000,0.457490
1.000000,4.113924,9.987342,0.000000,0.750000,2.000000,0.461988
1.000000,5.176471,5.417112,0.589744,0.725490,1.000000,0.518006
0.000000,4.940299,8.358209,0.000000,0.000000,1.000000,0.271255
1.000000,5.025862,6.224138,0.857143,0.205882,1.000000,0.359133
0.000000,4.362694,4.683938,0.481481,0.568966,1.000000,0.534626
1.000000,4.704225,5.725352,0.833333,0.486486,1.000000,0.439628
0.000000,4.710000,8.840000,0.000000,0.807692,1.000000,0.526316
1.000000,5.616438,4.876712,0.580645,0.266667,0.000000,0.452012
-2.000000,4.558140,6.589147,0.692308,0.333333,1.000000,0.452632
